Titulo;Relator;Data de publicação;Data de julgamento;Órgão julgador;Ementa
HC 203894 AgR;ROBERTO BARROSO;10/11/2021;25/10/2021;Tribunal Pleno;"EMENTA: Processual penal. Agravo regimental em habeas corpus. Violação ao princípio da colegialidade. Inexistência. Habeas corpus contra ato de Ministro do Supremo Tribunal Federal. Inadequação da via eleita. Jurisprudência do Supremo Tribunal Federal. Ausência de ilegalidade flagrante ou abuso de poder.    1. A orientação do Supremo Tribunal Federal é no sentido de que inexiste violação ao princípio da colegialidade na utilização, pelo Ministro Relator, das faculdades previstas no art. 21, § 1º, do RI/STF (cf. MS 28097-AgR, Rel. Min. Celso de Mello; RHC 119.231-AgR, Relª. Minª. Cármen Lúcia; HC 118.438, Rel. Min. Teori Zavascki).    2. Esta Corte firmou orientação no sentido do descabimento da impetração de habeas corpus contra ato de Ministro, Turma ou do Plenário do Tribunal (Súmula 606/STF; HC 100.738, Redatora para o acórdão a Ministra Cármen Lúcia; HC 101.432, Redator para o acórdão o Ministro Dias Toffoli; HC 88.247-AgR-AgR, Rel. Min. Celso de Mello; HC 91.020-AgR, Rel. Min. Celso de Mello; HC 86.548, Rel. Min. Cezar Peluso).    3. Muito embora essa orientação jurisprudencial tenha sido rediscutida no julgamento do HC 127.483, Rel. Min. Dias Toffoli – oportunidade em que se verificou o empate na votação –, o Plenário do STF “reafirmou sua jurisprudência no sentido de não ser cabível ‘habeas corpus’ impetrado contra decisão monocrática de ministro da Corte”. Refiro-me ao HC 105.959, Redator para o acórdão o Ministro Edson Fachin, julgado com a participação de todos os integrantes do Tribunal. Esse entendimento foi ratificado pelo Tribunal Pleno, no julgamento do HC 186.296, Rel. Min. Edson Fachin. De modo que o processo deve ser extinto sem resolução do mérito.    4. As peças que instruem esta impetração não evidenciam situação de teratologia, ilegalidade flagrante ou abuso de poder que justifique a concessão da ordem de ofício.     5. Agravo regimental a que se nega provimento."
HC 205655 AgR;EDSON FACHIN;23/11/2021;25/10/2021;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. PROCESSO PENAL. IMPETRAÇÃO CONTRA DECISÃO MONOCRÁTICA DE MINISTRO DO SUPREMO TRIBUNAL FEDERAL. NÃO CONHECIMENTO. INEXISTÊNCIA DE ILEGALIDADE EVIDENTE OU TERATOLOGIA. DESCABIMENTO DE SUPERAÇÃO SUMULAR.    1. A teor da Súmula 606/STF, é inadmissível a impetração de writ contra ato de Ministro Relator, de Turma ou do próprio Tribunal Pleno.     2. Agravo regimental desprovido.
HC 206430 AgR;EDSON FACHIN;23/11/2021;19/10/2021;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. PROCESSO PENAL. IMPETRAÇÃO CONTRA DECISÃO MONOCRÁTICA DE MINISTRO DO SUPREMO TRIBUNAL FEDERAL. NÃO CONHECIMENTO. INEXISTÊNCIA DE ILEGALIDADE EVIDENTE OU TERATOLOGIA. DESCABIMENTO DE SUPERAÇÃO SUMULAR.    1. A teor da Súmula 606/STF, é inadmissível a impetração de writ contra ato de Ministro Relator, de Turma ou do próprio Tribunal Pleno.     2. Agravo regimental desprovido.
HC 205699 AgR;NUNES MARQUES;25/11/2021;11/10/2021;Tribunal Pleno;EMENTA    AGRAVO REGIMENTAL EM HABEAS CORPUS. IMPETRAÇÃO CONTRA ACÓRDÃO DA PRIMEIRA TURMA DO SUPREMO. INADMISSIBILIDADE. ENUNCIADO N. 606 DA SÚMULA DO SUPREMO TRIBUNAL FEDERAL. EXTRADIÇÃO DEFERIDA. TRÂNSITO EM JULGADO. ESGOTAMENTO DA JURISDIÇÃO DESTA CORTE. HABEAS CORPUS NÃO CONHECIDO.    1. É inviável o habeas corpus, quando impetrado contra decisão de ministro do Supremo Tribunal Federal ou acórdão de uma das Turmas ou do Plenário do Supremo.    2. Uma vez que o acórdão que deferiu a extradição do paciente já transitou em julgado e as comunicações pertinentes já foram realizadas, está esgotada a jurisdição desta Corte.    3. Agravo regimental desprovido.
HC 206248 AgR;LUIZ FUX (Presidente);26/10/2021;11/10/2021;Tribunal Pleno;Ementa: AGRAVO INTERNO NO HABEAS CORPUS. PENAL E PROCESSUAL PENAL. INCOGNOSCIBILIDADE DO WRIT IMPETRADO FORA DAS HIPÓTESES PREVISTAS NA CONSTITUIÇÃO FEDERAL. INCOMPETÊNCIA DO SUPREMO TRIBUNAL FEDERAL. AUSÊNCIA DE ARGUMENTOS NOVOS HÁBEIS A INFIRMAR A DECISÃO AGRAVADA. AGRAVO INTERNO DESPROVIDO.    1. A competência originária do Supremo Tribunal Federal para conhecer e julgar habeas corpus está definida, exaustivamente, no artigo 102, inciso I, alíneas d e i, da Constituição da República, sendo certo que a espécie não está arrolada em qualquer das hipóteses sujeitas à jurisdição desta Corte.     2. Agravo interno desprovido.
HC 183280 AgR;EDSON FACHIN;10/11/2021;04/10/2021;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. PROCESSO PENAL. IMPETRAÇÃO CONTRA DECISÃO DA PRIMEIRA TURMA DO SUPREMO TRIBUNAL FEDERAL. NÃO CONHECIMENTO. DESCABIMENTO DE SUPERAÇÃO SUMULAR.    1. A teor da Súmula 606/STF, é inadmissível a impetração de writ contra ato de Turma ou do próprio Tribunal Pleno.     2. Agravo regimental desprovido.
HC 204375 AgR;EDSON FACHIN;08/11/2021;04/10/2021;Tribunal Pleno;Ementa: AGRAVO REGIMENTAL EM HABEAS CORPUS. PROCESSO PENAL. IMPETRAÇÃO CONTRA DECISÃO EMANADA POR MINISTRO DO SUPREMO TRIBUNAL FEDERAL. NÃO CONHECIMENTO. DESCABIMENTO DE SUPERAÇÃO SUMULAR.    1. A teor da Súmula 606/STF, é inadmissível a impetração de writ contra ato de Turma, Tribunal Pleno ou de ministros que as compõem.    2. Agravo regimental desprovido.
HC 189984 AgR-ED-EI-AgR;NUNES MARQUES;24/09/2021;08/09/2021;Tribunal Pleno;EMENTA    AGRAVO REGIMENTAL EM EMBARGOS INFRINGENTES EM EMBARGOS DE DECLARAÇÃO EM AGRAVO REGIMENTAL EM HABEAS CORPUS. INTERPOSIÇÃO DE EMBARGOS INFRINGENTES EM FACE DE ACÓRDÃO DO PLENÁRIO DO SUPREMO. INVIABILIDADE. EMBARGOS INFRINGENTES NÃO CONHECIDOS.     1. É inviável a interposição de embargos infringentes em face de acórdão emanado do Plenário do Supremo Tribunal Federal ou de quaisquer de suas Turmas em julgamento de habeas corpus.    2. O propósito manifestamente protelatório do presente recurso de declaração justifica a determinação de baixa imediata dos autos, independentemente da publicação do acórdão.     3. Agravo regimental a que se nega provimento.
HC 186006 AgR-ED-segundos-ED;RICARDO LEWANDOWSKI;31/08/2021;23/08/2021;Tribunal Pleno;Ementa: EMBARGOS DE DECLARAÇÃO NOS SEGUNDOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL EM HABEAS CORPUS. PROCESSUAL PENAL. AUSÊNCIA DE OMISSÃO, OBSCURIDADE OU CONTRADIÇÃO. REDISCUSSÃO DA MATÉRIA. EMBARGOS DE DECLARAÇÃO REJEITADOS COM IMEDIATA CERTIFICAÇÃO DE TRÂNSITO EM JULGADO.    I – Ausência dos pressupostos do art. 619 do Código de Processo Penal.    II – A parte embargante busca tão somente a rediscussão da matéria, mas os embargos de declaração não constituem meio processual adequado para a reforma do decisum.    III – A jurisprudência do Supremo Tribunal Federal tem decidido que a “utilização de sucessivos recursos manifestamente protelatórios autoriza o imediato cumprimento da decisão proferida pela Suprema Corte, independentemente da publicação do acórdão” (ARE 739.994-AGR-ED-AGR, rel. Min. Dias Toffoli).    IV – Embargos de declaração rejeitados, com determinação de imediata certificação do trânsito em julgado, independentemente da publicação do acórdão.
HC 192313 AgR;NUNES MARQUES;22/09/2021;17/08/2021;Tribunal Pleno;EMENTA    AGRAVO REGIMENTAL EM HABEAS CORPUS. IMPETRAÇÃO CONTRA DECISÃO DA PRIMEIRA TURMA DO SUPREMO. INADMISSÍVEL. ENUNCIADO N. 606 DA SÚMULA DESTA CORTE. CONDENAÇÃO JÁ TRANSITADA EM JULGADO. INVIABILIDADE DA UTILIZAÇÃO DO HABEAS CORPUS COMO SUCEDÂNEO DE REVISÃO CRIMINAL. HABEAS CORPUS NÃO CONHECIDO. DESPROVIMENTO.    1. É inviável o habeas corpus, quando impetrado contra decisão de Ministro do Supremo Tribunal Federal ou acórdão de uma das Turmas ou do Plenário do Supremo. Precedentes.    2. É inadmissível a utilização do habeas corpus como sucedâneo de revisão criminal.    3. Agravo regimental a que se nega provimento.
HC 202307 AgR;NUNES MARQUES;16/08/2021;03/08/2021;Tribunal Pleno;E M E N T A    AGRAVO REGIMENTAL EM HABEAS CORPUS. HABEAS CORPUS IMPETRADO CONTRA DECISÃO DE MINISTRA DO SUPREMO TRIBUNAL FEDERAL. INADMISSÍVEL. ENUNCIADO N° 606 DA SÚMULA DO SUPREMO TRIBUNAL FEDERAL. HABEAS CORPUS NÃO CONHECIDO. AGRAVO REGIMENTAL A QUE SE NEGA PROVIMENTO.    1. É inviável o habeas corpus, quando impetrado contra decisão de Ministro do Supremo Tribunal Federal ou contra acórdão de quaisquer das Turmas ou do Plenário desta Suprema Corte.    2. Agravo regimental a que se nega provimento.
